--------- beginning of system
06-26 19:14:44.572   554  2291 I ActivityManager: Force stopping com.quwoquan.quwoquan_app appid=10205 user=0: from pid 8853
06-26 19:14:44.575   554  2291 I ActivityManager: Killing 8224:com.quwoquan.quwoquan_app/u0a205 (adj 0): stop com.quwoquan.quwoquan_app due to from pid 8853
06-26 19:14:44.578   554  2291 W ActivityTaskManager: Force removing ActivityRecord{c2e95c9 u0 com.quwoquan.quwoquan_app/.MainActivity t19 f}}: app died, no saved state
06-26 19:14:44.580   554   603 D DisplayManagerService: Drop pending events for gone uid 10205
06-26 19:14:44.582   812   847 V WindowManagerShell: Transition requested (#38): android.os.BinderProxy@2512792 TransitionRequestInfo { type = CLOSE, triggerTask = TaskInfo{userId=0 taskId=19 displayId=0 isRunning=false baseIntent=Intent { flg=0x10000000 cmp=com.quwoquan.quwoquan_app/.MainActivity } baseActivity=null topActivity=null origActivity=null realActivity=ComponentInfo{com.quwoquan.quwoquan_app/com.quwoquan.quwoquan_app.MainActivity} numActivities=0 lastActiveTime=2635879 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{android.window.IWindowContainerToken$Stub$Proxy@3888563} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=null topActivityInfo=null launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false topActivityEligibleForLetterboxEducation= falseisLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false topActivityEligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false cameraCompatTaskInfo=CameraCompatTaskInfo { cameraCompatControlState=hidden freeformCameraCompatMode=inactive}}}, pipTask = null, remoteTransition = null, displayChange = null, flags = 0, debugId = 38 }
--------- beginning of main
06-26 19:14:44.606  1109  1109 D StatsLog: LAUNCHER_ONRESUME
06-26 19:14:44.607   554  2291 I AppsFilter: interaction: PackageSetting{9b1eb1d com.example.quwoquan_app/10204} -> PackageSetting{b02947c com.quwoquan.quwoquan_app/10205} BLOCKED
06-26 19:14:44.611  1109  1109 D NexusLauncherModelDelegate: notifySmartspaceEvent: SmartspaceTargetEvent{mSmartspaceTarget=null, mSmartspaceActionId='null', mEventType=6}
06-26 19:14:44.612   401   401 I BpBinder: onLastStrongRef automatically unlinking death recipients:
06-26 19:14:44.612   812   847 D WindowManagerShell: setLauncherKeepClearAreaHeight: visible=true, height=527
06-26 19:14:44.684   956   956 D CarrierSvcBindHelper: onHandleForceStop: [com.quwoquan.quwoquan_app]
06-26 19:14:44.702  1109  1152 D QuickstepModelDelegate: notifyAppTargetEvent action=1 launchLocation=workspace/0/[-1,-1]/[1,1]
06-26 19:14:44.707   956   956 D CarrierSvcBindHelper: No carrier app for: 0
06-26 19:14:44.712  1109  1109 D BaseDepthController: setSurface:
06-26 19:14:44.712  1109  1109 D BaseDepthController: 	mWaitingOnSurfaceValidity: false
06-26 19:14:44.712  1109  1109 D BaseDepthController: 	mSurface: Surface(name=com.google.android.apps.nexuslauncher/com.google.android.apps.nexuslauncher.NexusLauncherActivity)/@0x121d6ce
06-26 19:14:44.718   554   578 W ActivityTaskManager: callingPackage for (uid=2000, pid=8858) has no WPC
06-26 19:14:44.729   554   578 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_USER_ASPECT_RATIO_OVERRIDE
06-26 19:14:44.730   554   578 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_USER_ASPECT_RATIO_FULLSCREEN_OVERRIDE
06-26 19:14:44.730   554   578 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_ORIENTATION_OVERRIDE
06-26 19:14:44.730  6123  6171 W Bugle   : TextClassifierLibManagerImpl: Reclaiming memory at level: 40
06-26 19:14:44.730   554   578 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@3cbbef26 does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
06-26 19:14:44.730   554   578 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_RESIZEABLE_ACTIVITY_OVERRIDES
06-26 19:14:44.730   554   578 W OptProp : Cannot read opt property android.window.PROPERTY_COMPAT_ALLOW_MIN_ASPECT_RATIO_OVERRIDE
06-26 19:14:44.744   554   578 I ActivityTaskManager: Add Task{3ef34ce #19 type=standard A=10205:com.quwoquan.quwoquan_app} to hidden list because adding Task{5b67080 #20 type=standard A=10205:com.quwoquan.quwoquan_app}
06-26 19:14:44.748  1339  1578 I AiAiEcho: Predicting[0]:  [CONTEXT sampling_count=5 ]
06-26 19:14:44.748  1339  1578 I AiAiEcho: EchoTargets:
06-26 19:14:44.748  1339  1578 I AiAiEcho: Filtered by AiAi flag check:
06-26 19:14:44.748  1339  1578 I AiAiEcho: [CONTEXT ratelimit_period="10 SECONDS" ]
06-26 19:14:44.748  1339  1578 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata:  [CONTEXT ratelimit_period="10 SECONDS" ]
06-26 19:14:44.748  1339  1578 I AiAiEcho: #remoteViewsTwiddler: feature disabled.
06-26 19:14:44.750   554   578 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.quwoquan.quwoquan_app/.MainActivity} with LAUNCH_SINGLE_TOP from uid 2000 (BAL_ALLOW_PERMISSION) result code=0
06-26 19:14:44.751  6122  6138 W .apps.wellbeing: ApkAssets: Deleting an ApkAssets object '<empty> and /product/overlay/DisplayCutoutEmulationCorner/DisplayCutoutEmulationCornerOverlay.apk' with 1 weak references
06-26 19:14:44.751  6122  6138 W .apps.wellbeing: ApkAssets: Deleting an ApkAssets object '<empty> and /apex/com.android.extservices/priv-app/GoogleExtServices-sminus@AE3A.240806.019/GoogleExtServices-sminus.apk' with 1 weak references
06-26 19:14:44.751  6122  6138 W .apps.wellbeing: ApkAssets: Deleting an ApkAssets object '<empty> and /product/overlay/DisplayCutoutEmulationDouble/DisplayCutoutEmulationDoubleOverlay.apk' with 1 weak references
